sector,indicator,subcategory,subcategory2,subcategory3,aspectid,unit,explanation
Formal employment,Total PF amount paid,Medium,Services,Transport Services,622465,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Trading,Commercial Establishment,622520,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Agriculture,Farm and farming products,623130,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Agro-processing,623212,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Chemical,623218,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Clay/Ceramic products,623219,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Engineering,623227,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Gas,623233,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Non edible oil/fat,623249,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Painting,623251,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Paper products,623252,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Textile,623263,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Tobacco products,623264,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Others,Others,623350,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Automobile,623414,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Construction,623422,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Consultation Services,623423,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Education,623425,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Electric Power Industry,623426,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Engineering,623427,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,F&B,623429,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Financial Services,623431,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Hospitality,623435,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Housekeeping Services,623436,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Media,623444,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Medical,623445,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Petroleum/Natural Gas,623453,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Recreational Activties,623457,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Transport Services,623465,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Trading,Commercial Establishment,623520,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Agriculture,Farm and farming products,621130,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Agriculture,Plantation,621154,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Agro-processing,621212,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Engineering,621227,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Metal and ores,621246,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Plastics,621255,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Tanning,621262,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Textile,621263,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Automobile,621414,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Construction,621422,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Electric Power Industry,621426,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Hospitality,621435,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Medical,621445,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Printing,621456,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Bone crushing,622216,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Engineering,622227,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Gas,622233,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Metal and ores,622246,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Non edible oil/fat,622249,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Painting,622251,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Paper products,622252,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Plastics,622255,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Rubber products,622258,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Salt,622259,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Tanning,622262,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Others,Others,622350,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Automobile,622414,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,F&B,622429,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Hospitality,622435,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,IT,622440,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Media,622444,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Medical,622445,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Petroleum/Natural Gas,622453,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Printing,622456,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Bakery,623215,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Bone crushing,623216,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Confectionary,623221,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Farm and farming products,623230,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Glass,623234,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Icecream,623237,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Metal and ores,623246,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Mining,623248,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Petroleum/Natural Gas,623253,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Plastics,623255,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Rubber products,623258,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Salt,623259,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Starch,623260,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Tanning,623262,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Water,623266,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Wood,623267,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Delivery Services,623424,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Entertainment,623428,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,IT,623440,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Plantation,623454,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Printing,623456,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Wood,623467,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Agarbatti,621211,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Clay/Ceramic products,621219,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Icecream,621237,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Mining,621248,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Painting,621251,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Rubber products,621258,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Starch,621260,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Water,621266,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Others,Others,621350,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Chemical,621418,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Delivery Services,621424,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Education,621425,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,F&B,621429,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Financial Services,621431,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Housekeeping Services,621436,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,IT,621440,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Media,621444,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Petroleum/Natural Gas,621453,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Recreational Activties,621457,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Transport Services,621465,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Trading,Commercial Establishment,621520,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Agriculture,Plantation,622154,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Agarbatti,622211,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Alcohol,622213,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Bakery,622215,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Food Preservation,622232,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Glass,622234,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Icecream,622237,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Indigo,622238,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Mill,622247,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Petroleum/Natural Gas,622253,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Recreational Activties,622257,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Starch,622260,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Water,622266,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Wood,622267,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Chemical,622418,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Delivery Services,622424,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Entertainment,622428,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Agriculture,Plantation,623154,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Agarbatti,623211,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Alcohol,623213,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Construction,623222,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Indigo,623238,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Mill,623247,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Plantation,623254,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Recreational Activties,623257,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Stone Quarries,623261,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Chemical,623418,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Insurance,623439,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,Law,623441,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Alcohol,621213,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Farm and farming products,622230,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Bakery,621215,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Stone Quarries,622261,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Farm and farming products,621230,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Food Preservation,621232,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Plantation,622454,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Brush,623217,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Food Preservation,623232,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Matches,623243,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Construction,622222,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Law,622441,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Wood,622467,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Glass,621234,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Matches,622243,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Stone Quarries,621261,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Confectionary,621221,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Gas,621233,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Petroleum/Natural Gas,621253,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Entertainment,621428,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Insurance,621439,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Plantation,621454,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Wood,621467,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Brush,622217,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Entertainment,622228,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Plantation,622254,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Insurance,622439,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Entertainment,623228,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Bone crushing,621216,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Non edible oil/fat,621249,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Wood,621267,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Salt,621259,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Construction,621222,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Brush,621217,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,Linoleum and Indoleum,623242,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Matches,621243,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Plantation,621254,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Linoleum and Indoleum,622242,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Entertainment,621228,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Mill,621247,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Recreational Activties,621257,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,All firms,All sectors,All sectors,620010,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,All sectors,All sectors,621010,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,All sectors,All sectors,622010,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,All sectors,All sectors,623010,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,All sectors,621210,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,All sectors,621410,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Agriculture,All sectors,622110,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,All sectors,622210,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,All sectors,622410,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Trading,All sectors,622510,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Agriculture,All sectors,623110,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Manufacturing,All sectors,623210,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Others,All sectors,623310,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Services,All sectors,623410,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Small,Trading,All sectors,623510,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Agriculture,All sectors,621110,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Others,All sectors,622310,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Others,All sectors,621310,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Trading,All sectors,621510,Rs.,Total amount matched by companies as EPF
Formal employment,Total number of employees,Large,Manufacturing,Chemical,601218,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Paper products,601252,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Tobacco products,601264,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,Consultation Services,601423,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,Engineering,601427,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Agriculture,Farm and farming products,602130,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Agro-processing,602212,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Chemical,602218,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Clay/Ceramic products,602219,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Confectionary,602221,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Mining,602248,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Textile,602263,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Tobacco products,602264,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Construction,602422,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Consultation Services,602423,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Education,602425,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Electric Power Industry,602426,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Engineering,602427,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Financial Services,602431,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Housekeeping Services,602436,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Recreational Activties,602457,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Transport Services,602465,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Trading,Commercial Establishment,602520,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Agriculture,Farm and farming products,603130,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Agro-processing,603212,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Chemical,603218,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Clay/Ceramic products,603219,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Engineering,603227,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Gas,603233,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Non edible oil/fat,603249,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Painting,603251,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Paper products,603252,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Textile,603263,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Tobacco products,603264,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Others,Others,603350,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Automobile,603414,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Construction,603422,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Consultation Services,603423,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Education,603425,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Electric Power Industry,603426,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Engineering,603427,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,F&B,603429,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Financial Services,603431,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Hospitality,603435,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Housekeeping Services,603436,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Media,603444,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Medical,603445,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Petroleum/Natural Gas,603453,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Recreational Activties,603457,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Transport Services,603465,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Trading,Commercial Establishment,603520,,Total number of employees for whom the EPF was paid
