,CHINA,,,,,,,,INDIA,,,,,,,,BRAZIL,,,,,,,,RUSSIA,,,,,,,,MEXICO,,,,,,,,INDONESIA,,,,,,,,TURKEY,,,,,,,,THAILAND,,,,,,,,MALAYSIA,,,,,,,,PHILIPPINES,,,,,,
19-Jun,6.2,49.4,-1.5,2.7,18.8,-0.6,-1.5,,5.2,52.1,-9.7,3.2,10.3,0.5,2.5,,1.1,51,-8.5,3.4,27.8,3.5,8.8,,1.1,48.6,-11.2,4.7,27.5,1.3,6.8,,-1.2,49.2,1.2,4,4.8,-0.9,-1.5,,5.1,50.6,-9.1,2.8,9,1.1,3.9,,-1.7,47.9,-10,15.7,4.3,3.8,9.5,,2.4,50.6,-2.2,0.9,12,2.2,4.9,,4.8,47.8,-6.5,1.5,6.2,0.3,2.2,,5.4,51.3,3.9,2.7,9.3,1,2.8
19-Jul,6,49.7,3.4,2.8,18.5,0.3,3.1,,4.4,52.5,2.2,3.1,10.4,1,-3.3,,1.2,49.9,-10.5,3.2,26.6,2,7.4,,1.5,49.3,-2.5,4.6,27,1.3,2.1,,-0.4,49.8,6.5,3.8,4.7,1.1,-0.8,,5,49.6,-6.4,2.8,9,1.3,3.8,,1,46.7,13.4,16.7,4.3,2.4,11,,2.6,50.3,4.4,1,12,0.9,4.1,,4.4,47.6,2,1.4,6.2,0.9,2.1,,6.3,52.1,4.8,2.4,9.2,1.2,2.5
19-Aug,6,49.5,-1,2.8,18.4,-2.7,-3.8,,4.4,51.4,-6.5,3.3,10.4,-3.5,-8.2,,1.2,52.5,-8.7,3.4,26.4,-6.5,-7.4,,1.5,49.1,-9,4.3,27.2,-4.1,-6.2,,-0.4,49,1.3,3.2,4.7,-3.4,-6.8,,5,49,-10.1,3.1,9,-1.5,-3,,1,48,7.2,15,4.4,0.2,-2.1,,2.6,50,-3.8,0.5,12.1,0.2,-4.2,,4.4,47.4,-2.8,1.5,6.1,-1.6,-5.4,,6.3,51.9,1.4,1.7,9.3,-2,-5.3
19-Sep,6,49.8,-3.2,3,18.2,-0.8,5.5,,4.4,51.4,-6.6,4,10.7,-0.3,2,,1.2,53.4,5.8,2.9,25.4,-2.3,0,,1.5,46.3,-9.4,4,27.2,1.4,4.9,,-0.4,49.1,-1.4,3,4.7,0.6,5.5,,5,49.1,-5.9,3.1,8.8,0.9,0.8,,1,50,6.1,9.3,4.4,-1,5,,2.6,50.6,-1.7,0.3,12.2,0.6,0.7,,4.4,47.9,-7.1,1.1,6.2,0.1,-0.6,,6.3,51.8,0.4,0.9,9.2,0.2,0
19-Oct,6,49.3,-0.8,3.8,18.2,0.5,-1,,4.1,50.6,-1.7,4.6,11,0.4,3.5,,1.7,52.2,-10.6,2.5,24.6,0.9,1.5,,2.1,47.2,-10.2,3.8,27.2,1,0.7,,-0.7,50.4,-1.4,3,4.7,1.3,2.9,,5,47.7,-6.5,2.9,9,-0.1,-1.7,,6.4,49,4.7,8.6,4.6,-1.5,2.9,,1.5,50,-4.5,0.1,12.3,0.7,-0.4,,3.6,49.3,-7.1,1.1,6.2,-0.1,-0.7,,6.7,52.1,0.5,0.8,9.2,1.2,0.3
19-Nov,6,50.2,-1.3,4.9,18,0.8,1.3,,4.1,51.2,-0.3,5.5,11.3,-0.6,3.9,,1.7,52.9,-15.3,3.3,24.5,-1.8,1.1,,2.1,45.6,-11.7,3.5,27,0.7,6,,-0.7,48,-2.9,3,4.7,0.1,0.9,,5,48.2,-6.1,2.7,8.9,0.4,0,,6.4,49.5,4.8,10.6,4.5,0.9,8.4,,1.5,49.3,-7.4,0.2,12.2,0.3,1,,3.6,49.5,-4.7,0.9,6.1,0.7,2.3,,6.7,51.4,-0.2,1.3,9.2,1.4,1.4
19-Dec,6,50.2,8.1,4.5,17.9,0.1,3,,4.1,52.7,-1.8,7.4,11.5,0.4,0.7,,1.7,50.2,-4.4,4.3,24.1,1.3,6.9,,2.1,47.5,-4.1,3,27.2,1.6,2.3,,-0.7,47.1,3.1,2.8,4.8,1.1,1.5,,5,49.5,1,2.6,9.1,0.4,2.2,,6.4,49.5,5.1,11.8,4.6,-2.1,4.2,,1.5,50.1,-1.2,0.9,12.4,0.2,-1.9,,3.6,50,3.3,1,6,0.2,0.2,,6.7,51.7,21.6,2.5,9.4,-0.1,-2.4
20-Jan,-6.8,50,-17.2,5.4,18,1.4,7.8,,3.1,55.3,-1.7,7.6,11.5,-0.2,2,,-0.3,51,-19.4,4.2,22.2,-1.2,4.7,,1.6,47.9,-4,2.4,34.9,1.5,6.5,,-1.3,49,2.9,3.2,5.1,1.6,4.2,,3,49.3,-2.8,2.7,9.2,2,2.5,,4.4,51.3,5.9,12.2,3.9,-1.1,9.6,,-2,49.9,3.3,1.1,11.9,-0.8,-0.6,,0.7,48.8,-1.7,1.6,5.9,1.6,2.4,,-0.7,52.1,9.4,2.9,9.3,-0.1,-2
20-Feb,-6.8,35.7,-17.2,5.2,17.9,-1.2,-1,,3.1,54.5,2.9,6.6,12.2,-0.3,-1.5,,-0.3,52.3,-1,4,24.6,-4.7,-6.9,,1.6,48.2,-17.3,2.3,33.7,-3.6,-5.9,,-1.3,50,0.4,3.7,5.3,-0.2,-0.9,,3,51.9,9.9,3,10.1,-0.4,-6.6,,4.4,52.4,1.9,12.4,4.2,-2.4,-2,,-2,49.5,-4.5,0.7,13.4,-2.9,-7.7,,0.7,48.5,7.7,1.3,6.3,-2,-5,,-0.7,52.3,2.8,2.6,10.8,0.1,-5.1
20-Mar,-6.8,52,-6.6,4.3,18.5,-0.4,-2.1,,3.1,51.8,-34.6,5.8,13,-4.1,-22.9,,-0.3,48.4,5.3,3.3,23.4,-12.6,-32.4,,1.6,47.5,-17.9,2.5,31.6,-16.3,-30.4,,-1.3,47.9,-1.7,3.2,5.3,-18.5,-24.3,,3,45.3,-2.6,3,9.3,-10.2,-25.4,,4.4,48.1,-18.3,11.9,3.5,-4.5,-22.8,,-2,46.7,4.2,-0.5,12.9,-2.5,-22.3,,0.7,48.4,-11.3,-0.2,6.5,-3.3,-16.7,,-0.7,39.7,-24.7,2.5,11.5,-0.4,-19.6
20-Apr,3.2,50.8,3.4,3.3,19.3,-0.7,-1.9,,-23.9,27.4,-60.3,7.2,15.1,-2.4,-6.8,,-11.4,36,-8.7,2.4,24.4,-8.8,-16.2,,-8,31.3,-31.5,3.1,32.2,-0.6,2.8,,-18.7,35,-40.9,2.1,5.7,-8.3,-15.2,,-5.3,27.5,-6.9,2.7,9.9,-3.6,-8.5,,-9.9,33.4,-41.5,10.9,3,-8.1,-3.9,,-12.2,36.8,2.1,-3,13.6,-1.7,2.6,,-17.1,31.3,-29,-2.9,6.6,-1.2,-1.6,,-16.9,31.6,-49.9,2.2,13.7,0.5,-2.2
20-May,3.2,50.6,-3.2,2.4,20,-0.6,3.3,,-23.9,30.8,-36.5,6.3,16.5,0.7,4.1,,-11.4,38.3,-14.9,1.9,25.1,-5.8,-0.1,,-8,36.2,-34.1,3,32.5,3.1,6.4,,-18.7,38.3,-56.7,2.8,6.1,2.9,8.4,,-5.3,28.6,-29.1,2.2,10.9,5.6,6.3,,-9.9,40.9,-40.9,11.4,3.3,-1,7.7,,-12.2,41.6,-22.5,-3.4,14.7,1.7,7.9,,-17.1,45.6,-28.9,-2.9,6.9,0.2,5.8,,-16.9,40.1,-26.9,2.1,14.4,0.2,0.6
20-Jun,3.2,50.9,0.5,2.5,19.7,0.4,6,,-23.9,47.2,-12.4,6.2,17.9,-0.1,9.9,,-11.4,51.6,-4.9,2.1,26.4,7.7,24.1,,-8,49.4,-23.9,3.2,32.3,4.6,8.6,,-18.7,38.6,-12.8,3.3,6.3,4.8,7.9,,-5.3,39.1,2.1,2,11.1,5,11.9,,-9.9,53.9,15.7,12.6,3.1,1.5,9.5,,-12.2,43.5,-23.2,-1.6,15.3,2.9,9.2,,-17.1,51,5.1,-1.9,6.9,1.5,8.4,,-16.9,49.7,-12.5,2.5,14.3,1,10.6
20-Jul,4.9,51.1,7.2,2.7,19.6,1.1,15.3,,--,46,-10.2,6.7,18.8,1,7.7,,--,58.2,-3.3,2.3,27.3,-1.6,5.2,,-3.6,48.4,-27.5,3.4,33.2,-3.1,-4.5,,-8.6,40.4,-8.9,3.6,6.4,-0.3,-1,,-3.5,46.9,-10.1,1.5,11.6,-3,0.4,,--,56.9,-5.8,11.8,2.8,-0.9,8.3,,--,45.9,-11.4,-1,16.1,-0.8,-1.6,,-2.7,50,-0.3,-1.3,6.9,0.2,4.1,,-11.5,48.4,-9.1,2.7,14.8,1.3,-1.3
20-Aug,4.9,51,9.5,2.4,19.3,1.1,5.9,,--,52,-12.7,6.7,19,0.4,5.9,,--,64.7,-9.8,2.4,27.9,-3.3,-1.8,,-3.6,51.1,-31.6,3.6,33,-3.1,1.4,,-8.6,41.3,-7.7,4,6.4,0.9,3.1,,-3.5,50.8,-8.2,1.3,11.9,-1,2.6,,--,54.3,-5.7,11.8,2.5,-5.8,-0.4,,--,49.7,-7.9,-0.5,16.4,0.7,-1.5,,-2.7,49.3,-2.9,-1.4,6.9,1.8,3.3,,-11.5,47.3,-12.8,2.4,14.7,1.3,-0.6
20-Sep,4.9,51.5,9.9,1.7,18.6,1.7,-0.5,,--,56.8,6,7.3,18.9,1.5,2.5,,--,64.9,-9.1,3.1,28.1,1,-1.5,,-3.6,48.9,-14.9,3.7,32.1,-3.1,-5.9,,-8.6,42.1,3.7,4,6.3,2.4,-1.1,,-3.5,47.2,-0.5,1.4,11.7,-0.9,-3.7,,--,52.8,4.8,11.7,2.5,-3.8,0.5,,--,49.9,-3.9,-0.7,16.2,-0.5,-3.6,,-2.7,49,14.6,-1.4,6.7,0.9,-1.8,,-11.5,50.1,2.2,2.3,14.6,0.5,0.6
20-Oct,--,51.4,11.4,0.5,18.3,1.6,2.2,,--,58.9,-5.1,7.6,19.5,0.1,1.8,,--,66.7,-8.8,3.9,28,-4.2,-3.9,,--,46.9,--,4,32,-2,-4.9,,--,43.6,--,4.1,6.4,1.8,4.6,,--,47.8,--,1.4,11.6,0.7,0.7,,--,53.9,--,11.9,2.4,-5.3,-0.4,,--,50.8,--,-0.5,16,0.4,-2.4,,--,48.5,--,--,6.7,0,0.2,,--,48.5,--,2.5,14.6,0.1,3.7
20-Nov,--,52.1,21.1,-0.5,18.4,1.5,4.8,,--,56.30,-8.74,6.93,19.43,-1.09,4.98,,--,64.00,-1.16,4.31,27.87,3.78,8.99,,--,46.3,--,4.4,31.49,1.09,8.40,,--,43.7,--,3.33,6.25,4.05,9.31,,--,50.6,9.54,1.59,11.56,3.45,12.11,,--,51.4,--,14.03,2.35,-0.11,6.22,,--,50.4,--,-0.41,16.90,2.57,13.02,,--,48.4,--,--,6.57,0.97,5.73,,--,49.9,--,3.3,14.92,0.47,12.71
