state	age	cause	sex	perc
INDIA	70+	External Causes	T	2.4
INDIA	1-4	Unknown diseases	M	15.8
INDIA	1-4	Unknown diseases	F	16.5
INDIA	1-4	Unknown diseases	T	16.1
INDIA	5-14	Unknown diseases	M	13.3
INDIA	5-14	Unknown diseases	F	13.4
INDIA	5-14	Unknown diseases	T	13.3
INDIA	15-24	Unknown diseases	M	16.4
INDIA	15-24	Unknown diseases	F	14.6
INDIA	15-24	Unknown diseases	T	15.5
INDIA	25-34	Unknown diseases	M	15.8
INDIA	25-34	Unknown diseases	F	13.1
INDIA	25-34	Unknown diseases	T	14.8
INDIA	35-44	Unknown diseases	M	13.7
INDIA	35-44	Unknown diseases	F	11.6
INDIA	35-44	Unknown diseases	T	13
INDIA	45-54	Unknown diseases	M	13.2
INDIA	45-54	Unknown diseases	F	11.6
INDIA	45-54	Unknown diseases	T	12.7
INDIA	55-64	Unknown diseases	M	11.6
INDIA	55-64	Unknown diseases	F	10.8
INDIA	55-64	Unknown diseases	T	11.3
INDIA	65-69	Unknown diseases	M	14.4
INDIA	65-69	Unknown diseases	F	13.6
INDIA	65-69	Unknown diseases	T	14.1
INDIA	70+	Unknown diseases	M	17.3
INDIA	70+	Unknown diseases	F	19.1
INDIA	70+	Unknown diseases	T	18.1
INDIA	1-4	Respiratory	M	12.3
INDIA	1-4	Respiratory	F	13.5
INDIA	1-4	Respiratory	T	12.8
INDIA	5-14	Respiratory	M	8.2
INDIA	5-14	Respiratory	F	7.8
INDIA	5-14	Respiratory	T	8
INDIA	15-24	Respiratory	M	7
INDIA	15-24	Respiratory	F	6.3
INDIA	15-24	Respiratory	T	6.7
INDIA	25-34	Respiratory	M	6.2
INDIA	25-34	Respiratory	F	6.3
INDIA	25-34	Respiratory	T	6.2
INDIA	35-44	Respiratory	M	6.7
INDIA	35-44	Respiratory	F	7.1
INDIA	35-44	Respiratory	T	6.8
INDIA	45-54	Respiratory	M	7.9
INDIA	45-54	Respiratory	F	7.5
INDIA	45-54	Respiratory	T	7.8
INDIA	55-64	Respiratory	M	9.2
INDIA	55-64	Respiratory	F	8.1
INDIA	55-64	Respiratory	T	8.9
INDIA	65-69	Respiratory	M	10.1
INDIA	65-69	Respiratory	F	8.6
INDIA	65-69	Respiratory	T	9.6
INDIA	70+	Respiratory	M	11.3
INDIA	70+	Respiratory	F	9
INDIA	70+	Respiratory	T	10.3
INDIA	1-4	Cancer	M	4.4
INDIA	1-4	Cancer	F	4.1
INDIA	1-4	Cancer	T	4.3
INDIA	5-14	Cancer	M	4.6
INDIA	5-14	Cancer	F	3.9
INDIA	5-14	Cancer	T	4.3
INDIA	15-24	Cancer	M	4.1
INDIA	15-24	Cancer	F	2.9
INDIA	15-24	Cancer	T	3.6
INDIA	25-34	Cancer	M	3.4
INDIA	25-34	Cancer	F	4.4
INDIA	25-34	Cancer	T	3.8
INDIA	35-44	Cancer	M	4.4
INDIA	35-44	Cancer	F	8.7
INDIA	35-44	Cancer	T	5.8
INDIA	45-54	Cancer	M	5.8
INDIA	45-54	Cancer	F	10.5
INDIA	45-54	Cancer	T	7.3
INDIA	55-64	Cancer	M	6.6
INDIA	55-64	Cancer	F	9.1
INDIA	55-64	Cancer	T	7.4
INDIA	65-69	Cancer	M	5.9
INDIA	65-69	Cancer	F	6.5
INDIA	65-69	Cancer	T	6.1
INDIA	70+	Cancer	M	5
INDIA	70+	Cancer	F	4.4
INDIA	70+	Cancer	T	4.8
INDIA	1-4	Digestive	M	3.3
INDIA	1-4	Digestive	F	3.4
INDIA	1-4	Digestive	T	3.3
INDIA	5-14	Digestive	M	3.5
INDIA	5-14	Digestive	F	3.8
INDIA	5-14	Digestive	T	3.7
INDIA	15-24	Digestive	M	4.5
INDIA	15-24	Digestive	F	3.4
INDIA	15-24	Digestive	T	4
INDIA	25-34	Digestive	M	9.5
INDIA	25-34	Digestive	F	4.2
INDIA	25-34	Digestive	T	7.5
INDIA	35-44	Digestive	M	12.4
INDIA	35-44	Digestive	F	4.3
INDIA	35-44	Digestive	T	9.8
INDIA	45-54	Digestive	M	10.1
INDIA	45-54	Digestive	F	4
INDIA	45-54	Digestive	T	8.1
INDIA	55-64	Digestive	M	6.2
INDIA	55-64	Digestive	F	3.2
INDIA	55-64	Digestive	T	5.2
INDIA	65-69	Digestive	M	4.3
INDIA	65-69	Digestive	F	2.7
INDIA	65-69	Digestive	T	3.7
INDIA	70+	Digestive	M	2.6
INDIA	70+	Digestive	F	1.6
INDIA	70+	Digestive	T	2.2
INDIA	1-4	Blood diseases	M	4.6
INDIA	1-4	Blood diseases	F	5.8
INDIA	1-4	Blood diseases	T	5.1
INDIA	5-14	Blood diseases	M	4.3
INDIA	5-14	Blood diseases	F	4.6
INDIA	5-14	Blood diseases	T	4.4
INDIA	15-24	Blood diseases	M	2.9
INDIA	15-24	Blood diseases	F	4.3
INDIA	15-24	Blood diseases	T	3.5
INDIA	25-34	Blood diseases	M	1.7
INDIA	25-34	Blood diseases	F	3.5
INDIA	25-34	Blood diseases	T	2.4
INDIA	35-44	Blood diseases	M	1.4
INDIA	35-44	Blood diseases	F	2.9
INDIA	35-44	Blood diseases	T	1.9
INDIA	45-54	Blood diseases	M	1.1
INDIA	45-54	Blood diseases	F	1.8
INDIA	45-54	Blood diseases	T	1.3
INDIA	55-64	Blood diseases	M	0.9
INDIA	55-64	Blood diseases	F	1.3
INDIA	55-64	Blood diseases	T	1
INDIA	65-69	Blood diseases	M	0.7
INDIA	65-69	Blood diseases	F	1.1
INDIA	65-69	Blood diseases	T	0.9
INDIA	70+	Blood diseases	M	0.8
INDIA	70+	Blood diseases	F	1.1
INDIA	70+	Blood diseases	T	0.9
INDIA	1-4	Endocrine	M	2.5
INDIA	1-4	Endocrine	F	2.7
INDIA	1-4	Endocrine	T	2.6
INDIA	5-14	Endocrine	M	1.4
INDIA	5-14	Endocrine	F	2.3
INDIA	5-14	Endocrine	T	1.8
INDIA	15-24	Endocrine	M	1.3
INDIA	15-24	Endocrine	F	1.6
INDIA	15-24	Endocrine	T	1.4
INDIA	25-34	Endocrine	M	1.7
INDIA	25-34	Endocrine	F	1.8
INDIA	25-34	Endocrine	T	1.7
INDIA	35-44	Endocrine	M	2.2
INDIA	35-44	Endocrine	F	2.7
INDIA	35-44	Endocrine	T	2.3
INDIA	45-54	Endocrine	M	4
INDIA	45-54	Endocrine	F	4.6
INDIA	45-54	Endocrine	T	4.2
INDIA	55-64	Endocrine	M	5.4
INDIA	55-64	Endocrine	F	6.1
INDIA	55-64	Endocrine	T	5.6
INDIA	65-69	Endocrine	M	5.3
INDIA	65-69	Endocrine	F	6.3
INDIA	65-69	Endocrine	T	5.7
INDIA	70+	Endocrine	M	4.9
INDIA	70+	Endocrine	F	4.8
INDIA	70+	Endocrine	T	4.8
INDIA	1-4	Nervous	M	8.5
INDIA	1-4	Nervous	F	8.4
INDIA	1-4	Nervous	T	8.5
INDIA	5-14	Nervous	M	7.8
INDIA	5-14	Nervous	F	8.2
INDIA	5-14	Nervous	T	8
INDIA	15-24	Nervous	M	3.4
INDIA	15-24	Nervous	F	3.3
INDIA	15-24	Nervous	T	3.3
INDIA	25-34	Nervous	M	2.6
INDIA	25-34	Nervous	F	2.8
INDIA	25-34	Nervous	T	2.7
INDIA	35-44	Nervous	M	2.3
INDIA	35-44	Nervous	F	2.3
INDIA	35-44	Nervous	T	2.3
INDIA	45-54	Nervous	M	1.8
INDIA	45-54	Nervous	F	2.4
INDIA	45-54	Nervous	T	2
INDIA	55-64	Nervous	M	1.6
INDIA	55-64	Nervous	F	1.9
INDIA	55-64	Nervous	T	1.7
INDIA	65-69	Nervous	M	1.6
INDIA	65-69	Nervous	F	1.8
INDIA	65-69	Nervous	T	1.7
INDIA	70+	Nervous	M	1.6
INDIA	70+	Nervous	F	1.4
INDIA	70+	Nervous	T	1.5
INDIA	1-4	Others	F	7.6
INDIA	5-14	Others	F	6.3
INDIA	15-24	Others	F	10.4
INDIA	25-34	Others	F	10.8
INDIA	35-44	Others	F	8.6
INDIA	45-54	Others	F	6.6
INDIA	55-64	Others	F	5.1
INDIA	65-69	Others	F	4.8
INDIA	70+	Others	F	3.5
INDIA	1-4	Others	M	7.4
INDIA	5-14	Others	M	5.6
INDIA	15-24	Others	M	4.1
INDIA	25-34	Others	M	3.9
INDIA	35-44	Others	M	3.5
INDIA	45-54	Others	M	4.2
INDIA	55-64	Others	M	4.3
INDIA	65-69	Others	M	4.2
INDIA	70+	Others	M	4
INDIA	1-4	Others	T	7.5
INDIA	5-14	Others	T	5.9
INDIA	15-24	Others	T	7.1
INDIA	25-34	Others	T	6.5
INDIA	35-44	Others	T	5.3
INDIA	45-54	Others	T	4.9
INDIA	55-64	Others	T	4.5
INDIA	65-69	Others	T	4.4
INDIA	70+	Others	T	3.8
ANDAMAN & NICOBAR ISLANDS	1-4	Circulatory	M	33.3
ANDAMAN & NICOBAR ISLANDS	1-4	Circulatory	F	40
ANDAMAN & NICOBAR ISLANDS	1-4	Circulatory	T	37.5
ANDAMAN & NICOBAR ISLANDS	5-14	Circulatory	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	Circulatory	F	11.1
ANDAMAN & NICOBAR ISLANDS	5-14	Circulatory	T	8.3
ANDAMAN & NICOBAR ISLANDS	15-24	Circulatory	M	26.1
ANDAMAN & NICOBAR ISLANDS	15-24	Circulatory	F	4.8
ANDAMAN & NICOBAR ISLANDS	15-24	Circulatory	T	15.9
ANDAMAN & NICOBAR ISLANDS	25-34	Circulatory	M	14.9
ANDAMAN & NICOBAR ISLANDS	25-34	Circulatory	F	7.7
ANDAMAN & NICOBAR ISLANDS	25-34	Circulatory	T	11.6
ANDAMAN & NICOBAR ISLANDS	35-44	Circulatory	M	28.9
ANDAMAN & NICOBAR ISLANDS	35-44	Circulatory	F	31.1
ANDAMAN & NICOBAR ISLANDS	35-44	Circulatory	T	29.7
ANDAMAN & NICOBAR ISLANDS	45-54	Circulatory	M	32.8
ANDAMAN & NICOBAR ISLANDS	45-54	Circulatory	F	39.6
ANDAMAN & NICOBAR ISLANDS	45-54	Circulatory	T	34.6
ANDAMAN & NICOBAR ISLANDS	55-64	Circulatory	M	46.3
ANDAMAN & NICOBAR ISLANDS	55-64	Circulatory	F	42.4
ANDAMAN & NICOBAR ISLANDS	55-64	Circulatory	T	45
ANDAMAN & NICOBAR ISLANDS	65-69	Circulatory	M	65.5
ANDAMAN & NICOBAR ISLANDS	65-69	Circulatory	F	60
ANDAMAN & NICOBAR ISLANDS	65-69	Circulatory	T	64
ANDAMAN & NICOBAR ISLANDS	70+	Circulatory	M	50
ANDAMAN & NICOBAR ISLANDS	70+	Circulatory	F	43.1
ANDAMAN & NICOBAR ISLANDS	70+	Circulatory	T	47.7
ANDAMAN & NICOBAR ISLANDS	1-4	Infections	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	Infections	F	0
ANDAMAN & NICOBAR ISLANDS	1-4	Infections	T	0
ANDAMAN & NICOBAR ISLANDS	5-14	Infections	M	66.7
ANDAMAN & NICOBAR ISLANDS	5-14	Infections	F	44.4
ANDAMAN & NICOBAR ISLANDS	5-14	Infections	T	50
ANDAMAN & NICOBAR ISLANDS	15-24	Infections	M	34.8
ANDAMAN & NICOBAR ISLANDS	15-24	Infections	F	14.3
ANDAMAN & NICOBAR ISLANDS	15-24	Infections	T	25
ANDAMAN & NICOBAR ISLANDS	25-34	Infections	M	25.5
ANDAMAN & NICOBAR ISLANDS	25-34	Infections	F	35.9
ANDAMAN & NICOBAR ISLANDS	25-34	Infections	T	30.2
ANDAMAN & NICOBAR ISLANDS	35-44	Infections	M	14.5
ANDAMAN & NICOBAR ISLANDS	35-44	Infections	F	24.4
ANDAMAN & NICOBAR ISLANDS	35-44	Infections	T	18
ANDAMAN & NICOBAR ISLANDS	45-54	Infections	M	10.7
ANDAMAN & NICOBAR ISLANDS	45-54	Infections	F	10.4
ANDAMAN & NICOBAR ISLANDS	45-54	Infections	T	10.6
ANDAMAN & NICOBAR ISLANDS	55-64	Infections	M	8.9
ANDAMAN & NICOBAR ISLANDS	55-64	Infections	F	6.1
ANDAMAN & NICOBAR ISLANDS	55-64	Infections	T	7.9
ANDAMAN & NICOBAR ISLANDS	65-69	Infections	M	1.8
ANDAMAN & NICOBAR ISLANDS	65-69	Infections	F	0
ANDAMAN & NICOBAR ISLANDS	65-69	Infections	T	1.3
ANDAMAN & NICOBAR ISLANDS	70+	Infections	M	8.6
ANDAMAN & NICOBAR ISLANDS	70+	Infections	F	6.2
ANDAMAN & NICOBAR ISLANDS	70+	Infections	T	7.8
ANDAMAN & NICOBAR ISLANDS	1-4	External Causes	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	External Causes	F	0
ANDAMAN & NICOBAR ISLANDS	1-4	External Causes	T	0
ANDAMAN & NICOBAR ISLANDS	5-14	External Causes	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	External Causes	F	22.2
ANDAMAN & NICOBAR ISLANDS	5-14	External Causes	T	16.7
ANDAMAN & NICOBAR ISLANDS	15-24	External Causes	M	17.4
ANDAMAN & NICOBAR ISLANDS	15-24	External Causes	F	52.4
ANDAMAN & NICOBAR ISLANDS	15-24	External Causes	T	34.1
ANDAMAN & NICOBAR ISLANDS	25-34	External Causes	M	6.4
ANDAMAN & NICOBAR ISLANDS	25-34	External Causes	F	30.8
ANDAMAN & NICOBAR ISLANDS	25-34	External Causes	T	17.4
ANDAMAN & NICOBAR ISLANDS	35-44	External Causes	M	9.6
ANDAMAN & NICOBAR ISLANDS	35-44	External Causes	F	8.9
ANDAMAN & NICOBAR ISLANDS	35-44	External Causes	T	9.4
ANDAMAN & NICOBAR ISLANDS	45-54	External Causes	M	8.4
ANDAMAN & NICOBAR ISLANDS	45-54	External Causes	F	2.1
ANDAMAN & NICOBAR ISLANDS	45-54	External Causes	T	6.7
ANDAMAN & NICOBAR ISLANDS	55-64	External Causes	M	2.4
ANDAMAN & NICOBAR ISLANDS	55-64	External Causes	F	1.5
ANDAMAN & NICOBAR ISLANDS	55-64	External Causes	T	2.1
ANDAMAN & NICOBAR ISLANDS	65-69	External Causes	M	1.8
ANDAMAN & NICOBAR ISLANDS	65-69	External Causes	F	5
ANDAMAN & NICOBAR ISLANDS	65-69	External Causes	T	2.7
ANDAMAN & NICOBAR ISLANDS	70+	External Causes	M	3.1
ANDAMAN & NICOBAR ISLANDS	70+	External Causes	F	1.5
ANDAMAN & NICOBAR ISLANDS	70+	External Causes	T	2.6
ANDAMAN & NICOBAR ISLANDS	1-4	Unknown diseases	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	Unknown diseases	F	0
ANDAMAN & NICOBAR ISLANDS	1-4	Unknown diseases	T	0
ANDAMAN & NICOBAR ISLANDS	5-14	Unknown diseases	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	Unknown diseases	F	0
ANDAMAN & NICOBAR ISLANDS	5-14	Unknown diseases	T	0
ANDAMAN & NICOBAR ISLANDS	15-24	Unknown diseases	M	0
ANDAMAN & NICOBAR ISLANDS	15-24	Unknown diseases	F	4.8
ANDAMAN & NICOBAR ISLANDS	15-24	Unknown diseases	T	2.3
ANDAMAN & NICOBAR ISLANDS	25-34	Unknown diseases	M	2.1
ANDAMAN & NICOBAR ISLANDS	25-34	Unknown diseases	F	0
ANDAMAN & NICOBAR ISLANDS	25-34	Unknown diseases	T	1.2
ANDAMAN & NICOBAR ISLANDS	35-44	Unknown diseases	M	1.2
ANDAMAN & NICOBAR ISLANDS	35-44	Unknown diseases	F	2.2
ANDAMAN & NICOBAR ISLANDS	35-44	Unknown diseases	T	1.6
ANDAMAN & NICOBAR ISLANDS	45-54	Unknown diseases	M	0
ANDAMAN & NICOBAR ISLANDS	45-54	Unknown diseases	F	2.1
ANDAMAN & NICOBAR ISLANDS	45-54	Unknown diseases	T	0.6
ANDAMAN & NICOBAR ISLANDS	55-64	Unknown diseases	M	1.6
ANDAMAN & NICOBAR ISLANDS	55-64	Unknown diseases	F	0
ANDAMAN & NICOBAR ISLANDS	55-64	Unknown diseases	T	1.1
ANDAMAN & NICOBAR ISLANDS	65-69	Unknown diseases	M	0
ANDAMAN & NICOBAR ISLANDS	65-69	Unknown diseases	F	0
ANDAMAN & NICOBAR ISLANDS	65-69	Unknown diseases	T	0
ANDAMAN & NICOBAR ISLANDS	70+	Unknown diseases	M	0.8
ANDAMAN & NICOBAR ISLANDS	70+	Unknown diseases	F	0
ANDAMAN & NICOBAR ISLANDS	70+	Unknown diseases	T	0.5
ANDAMAN & NICOBAR ISLANDS	1-4	Respiratory	M	66.7
ANDAMAN & NICOBAR ISLANDS	1-4	Respiratory	F	20
ANDAMAN & NICOBAR ISLANDS	1-4	Respiratory	T	37.5
ANDAMAN & NICOBAR ISLANDS	5-14	Respiratory	M	33.3
ANDAMAN & NICOBAR ISLANDS	5-14	Respiratory	F	11.1
ANDAMAN & NICOBAR ISLANDS	5-14	Respiratory	T	16.7
ANDAMAN & NICOBAR ISLANDS	15-24	Respiratory	M	4.3
ANDAMAN & NICOBAR ISLANDS	15-24	Respiratory	F	9.5
ANDAMAN & NICOBAR ISLANDS	15-24	Respiratory	T	6.8
ANDAMAN & NICOBAR ISLANDS	25-34	Respiratory	M	2.1
ANDAMAN & NICOBAR ISLANDS	25-34	Respiratory	F	7.7
ANDAMAN & NICOBAR ISLANDS	25-34	Respiratory	T	4.7
ANDAMAN & NICOBAR ISLANDS	35-44	Respiratory	M	2.4
ANDAMAN & NICOBAR ISLANDS	35-44	Respiratory	F	6.7
ANDAMAN & NICOBAR ISLANDS	35-44	Respiratory	T	3.9
ANDAMAN & NICOBAR ISLANDS	45-54	Respiratory	M	2.3
ANDAMAN & NICOBAR ISLANDS	45-54	Respiratory	F	10.4
ANDAMAN & NICOBAR ISLANDS	45-54	Respiratory	T	4.5
ANDAMAN & NICOBAR ISLANDS	55-64	Respiratory	M	4.1
ANDAMAN & NICOBAR ISLANDS	55-64	Respiratory	F	6.1
ANDAMAN & NICOBAR ISLANDS	55-64	Respiratory	T	4.8
ANDAMAN & NICOBAR ISLANDS	65-69	Respiratory	M	3.6
ANDAMAN & NICOBAR ISLANDS	65-69	Respiratory	F	0
ANDAMAN & NICOBAR ISLANDS	65-69	Respiratory	T	2.7
ANDAMAN & NICOBAR ISLANDS	70+	Respiratory	M	7.8
ANDAMAN & NICOBAR ISLANDS	70+	Respiratory	F	4.6
ANDAMAN & NICOBAR ISLANDS	70+	Respiratory	T	6.7
ANDAMAN & NICOBAR ISLANDS	1-4	Cancer	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	Cancer	F	0
ANDAMAN & NICOBAR ISLANDS	1-4	Cancer	T	0
ANDAMAN & NICOBAR ISLANDS	5-14	Cancer	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	Cancer	F	0
ANDAMAN & NICOBAR ISLANDS	5-14	Cancer	T	0
ANDAMAN & NICOBAR ISLANDS	15-24	Cancer	M	4.3
ANDAMAN & NICOBAR ISLANDS	15-24	Cancer	F	4.8
ANDAMAN & NICOBAR ISLANDS	15-24	Cancer	T	4.5
ANDAMAN & NICOBAR ISLANDS	25-34	Cancer	M	2.1
ANDAMAN & NICOBAR ISLANDS	25-34	Cancer	F	0
ANDAMAN & NICOBAR ISLANDS	25-34	Cancer	T	1.2
ANDAMAN & NICOBAR ISLANDS	35-44	Cancer	M	2.4
ANDAMAN & NICOBAR ISLANDS	35-44	Cancer	F	4.4
ANDAMAN & NICOBAR ISLANDS	35-44	Cancer	T	3.1
ANDAMAN & NICOBAR ISLANDS	45-54	Cancer	M	3.1
ANDAMAN & NICOBAR ISLANDS	45-54	Cancer	F	6.3
ANDAMAN & NICOBAR ISLANDS	45-54	Cancer	T	3.9
ANDAMAN & NICOBAR ISLANDS	55-64	Cancer	M	3.3
ANDAMAN & NICOBAR ISLANDS	55-64	Cancer	F	12.1
ANDAMAN & NICOBAR ISLANDS	55-64	Cancer	T	6.3
ANDAMAN & NICOBAR ISLANDS	65-69	Cancer	M	5.5
ANDAMAN & NICOBAR ISLANDS	65-69	Cancer	F	15
ANDAMAN & NICOBAR ISLANDS	65-69	Cancer	T	8
ANDAMAN & NICOBAR ISLANDS	70+	Cancer	M	3.1
ANDAMAN & NICOBAR ISLANDS	70+	Cancer	F	4.6
ANDAMAN & NICOBAR ISLANDS	70+	Cancer	T	3.6
ANDAMAN & NICOBAR ISLANDS	1-4	Digestive	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	Digestive	F	20
ANDAMAN & NICOBAR ISLANDS	1-4	Digestive	T	12.5
ANDAMAN & NICOBAR ISLANDS	5-14	Digestive	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	Digestive	F	0
ANDAMAN & NICOBAR ISLANDS	5-14	Digestive	T	0
ANDAMAN & NICOBAR ISLANDS	15-24	Digestive	M	0
ANDAMAN & NICOBAR ISLANDS	15-24	Digestive	F	0
ANDAMAN & NICOBAR ISLANDS	15-24	Digestive	T	0
ANDAMAN & NICOBAR ISLANDS	25-34	Digestive	M	27.7
ANDAMAN & NICOBAR ISLANDS	25-34	Digestive	F	7.7
ANDAMAN & NICOBAR ISLANDS	25-34	Digestive	T	18.6
ANDAMAN & NICOBAR ISLANDS	35-44	Digestive	M	22.9
ANDAMAN & NICOBAR ISLANDS	35-44	Digestive	F	4.4
ANDAMAN & NICOBAR ISLANDS	35-44	Digestive	T	16.4
ANDAMAN & NICOBAR ISLANDS	45-54	Digestive	M	16
ANDAMAN & NICOBAR ISLANDS	45-54	Digestive	F	10.4
ANDAMAN & NICOBAR ISLANDS	45-54	Digestive	T	14.5
ANDAMAN & NICOBAR ISLANDS	55-64	Digestive	M	11.4
ANDAMAN & NICOBAR ISLANDS	55-64	Digestive	F	3
ANDAMAN & NICOBAR ISLANDS	55-64	Digestive	T	8.5
ANDAMAN & NICOBAR ISLANDS	65-69	Digestive	M	1.8
ANDAMAN & NICOBAR ISLANDS	65-69	Digestive	F	0
ANDAMAN & NICOBAR ISLANDS	65-69	Digestive	T	1.3
ANDAMAN & NICOBAR ISLANDS	70+	Digestive	M	5.5
ANDAMAN & NICOBAR ISLANDS	70+	Digestive	F	1.5
ANDAMAN & NICOBAR ISLANDS	70+	Digestive	T	4.1
ANDAMAN & NICOBAR ISLANDS	1-4	Blood diseases	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	Blood diseases	F	0
ANDAMAN & NICOBAR ISLANDS	1-4	Blood diseases	T	0
ANDAMAN & NICOBAR ISLANDS	5-14	Blood diseases	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	Blood diseases	F	11.1
ANDAMAN & NICOBAR ISLANDS	5-14	Blood diseases	T	8.3
ANDAMAN & NICOBAR ISLANDS	15-24	Blood diseases	M	0
ANDAMAN & NICOBAR ISLANDS	15-24	Blood diseases	F	0
ANDAMAN & NICOBAR ISLANDS	15-24	Blood diseases	T	0
ANDAMAN & NICOBAR ISLANDS	25-34	Blood diseases	M	4.3
ANDAMAN & NICOBAR ISLANDS	25-34	Blood diseases	F	5.1
ANDAMAN & NICOBAR ISLANDS	25-34	Blood diseases	T	4.7
ANDAMAN & NICOBAR ISLANDS	35-44	Blood diseases	M	1.2
ANDAMAN & NICOBAR ISLANDS	35-44	Blood diseases	F	4.4
ANDAMAN & NICOBAR ISLANDS	35-44	Blood diseases	T	2.3
ANDAMAN & NICOBAR ISLANDS	45-54	Blood diseases	M	1.5
ANDAMAN & NICOBAR ISLANDS	45-54	Blood diseases	F	8.3
ANDAMAN & NICOBAR ISLANDS	45-54	Blood diseases	T	3.4
ANDAMAN & NICOBAR ISLANDS	55-64	Blood diseases	M	0.8
ANDAMAN & NICOBAR ISLANDS	55-64	Blood diseases	F	1.5
ANDAMAN & NICOBAR ISLANDS	55-64	Blood diseases	T	1.1
ANDAMAN & NICOBAR ISLANDS	65-69	Blood diseases	M	0
ANDAMAN & NICOBAR ISLANDS	65-69	Blood diseases	F	0
ANDAMAN & NICOBAR ISLANDS	65-69	Blood diseases	T	0
ANDAMAN & NICOBAR ISLANDS	70+	Blood diseases	M	0.8
ANDAMAN & NICOBAR ISLANDS	70+	Blood diseases	F	4.6
ANDAMAN & NICOBAR ISLANDS	70+	Blood diseases	T	2.1
ANDAMAN & NICOBAR ISLANDS	1-4	Endocrine	M	0
ANDAMAN & NICOBAR ISLANDS	1-4	Endocrine	F	0
ANDAMAN & NICOBAR ISLANDS	1-4	Endocrine	T	0
ANDAMAN & NICOBAR ISLANDS	5-14	Endocrine	M	0
ANDAMAN & NICOBAR ISLANDS	5-14	Endocrine	F	0
