state	cause	sex	perc	rank
ANDHRA PRADESH	External Causes	T	8.0	5th
ANDHRA PRADESH	Respiratory	T	6.6	6th
ANDHRA PRADESH	Cancer	T	4.2	7th
ANDHRA PRADESH	Digestive	T	3.6	8th
ANDHRA PRADESH	Nervous	T	2.6	9th
ANDHRA PRADESH	Endocrine	T	1.8	10th
ANDHRA PRADESH	Blood diseases	T	1.0	11th
ARUNACHAL PRADESH	Nervous	F	22.3	1st
ARUNACHAL PRADESH	Infections	F	19.4	2nd
ARUNACHAL PRADESH	Circulatory	F	19.4	3rd
ARUNACHAL PRADESH	Blood diseases	F	13.7	4th
ARUNACHAL PRADESH	Others	F	6.5	5th
ARUNACHAL PRADESH	Digestive	F	6.5	6th
ARUNACHAL PRADESH	Endocrine	F	5.0	7th
ARUNACHAL PRADESH	Cancer	F	2.9	8th
ARUNACHAL PRADESH	Respiratory	F	2.9	9th
ARUNACHAL PRADESH	Unknown diseases	F	1.4	10th
ARUNACHAL PRADESH	External Causes	F	0.0	11th
ARUNACHAL PRADESH	Infections	M	21.9	1st
ARUNACHAL PRADESH	Circulatory	M	20.7	2nd
ARUNACHAL PRADESH	Digestive	M	18.5	3rd
ARUNACHAL PRADESH	Nervous	M	7.9	4th
ARUNACHAL PRADESH	Others	M	7.6	5th
ARUNACHAL PRADESH	Blood diseases	M	6.7	6th
ARUNACHAL PRADESH	Endocrine	M	6.1	7th
ARUNACHAL PRADESH	Cancer	M	4.6	8th
ARUNACHAL PRADESH	Respiratory	M	3.6	9th
ARUNACHAL PRADESH	Unknown diseases	M	2.1	10th
ARUNACHAL PRADESH	External Causes	M	0.3	11th
ARUNACHAL PRADESH	Infections	T	21.2	1st
ARUNACHAL PRADESH	Circulatory	T	20.3	2nd
ARUNACHAL PRADESH	Digestive	T	15.0	3rd
ARUNACHAL PRADESH	Nervous	T	12.2	4th
ARUNACHAL PRADESH	Blood diseases	T	8.8	5th
ARUNACHAL PRADESH	Others	T	7.2	6th
ARUNACHAL PRADESH	Endocrine	T	5.8	7th
ARUNACHAL PRADESH	Cancer	T	4.1	8th
ARUNACHAL PRADESH	Respiratory	T	3.4	9th
ARUNACHAL PRADESH	Unknown diseases	T	1.9	10th
ARUNACHAL PRADESH	External Causes	T	0.2	11th
ASSAM	Circulatory	F	31.0	1st
ASSAM	Others	F	13.8	2nd
ASSAM	Infections	F	12.2	3rd
ASSAM	Endocrine	F	9.2	4th
ASSAM	External Causes	F	9.0	5th
ASSAM	Respiratory	F	7.6	6th
ASSAM	Cancer	F	5.7	7th
ASSAM	Digestive	F	4.9	8th
ASSAM	Blood diseases	F	3.5	9th
ASSAM	Nervous	F	2.2	10th
ASSAM	Unknown diseases	F	0.8	11th
ASSAM	Circulatory	M	37.8	1st
ASSAM	Digestive	M	11.9	2nd
ASSAM	Others	M	11.8	3rd
ASSAM	Infections	M	11.2	4th
ASSAM	Endocrine	M	9.5	5th
ASSAM	External Causes	M	5.5	6th
ASSAM	Respiratory	M	5.0	7th
ASSAM	Cancer	M	3.0	8th
ASSAM	Nervous	M	2.3	9th
ASSAM	Blood diseases	M	1.1	10th
ASSAM	Unknown diseases	M	0.9	11th
ASSAM	Circulatory	T	35.3	1st
ASSAM	Others	T	12.6	2nd
ASSAM	Infections	T	11.6	3rd
ASSAM	Endocrine	T	9.4	4th
ASSAM	Digestive	T	9.3	5th
ASSAM	External Causes	T	6.7	6th
ASSAM	Respiratory	T	5.9	7th
ASSAM	Cancer	T	4.0	8th
ASSAM	Nervous	T	2.3	9th
ASSAM	Blood diseases	T	2.0	10th
ASSAM	Unknown diseases	T	0.9	11th
BIHAR	Circulatory	F	28.0	1st
BIHAR	Infections	F	25.6	2nd
BIHAR	Others	F	14.6	3rd
BIHAR	Nervous	F	8.7	4th
BIHAR	External Causes	F	5.2	5th
BIHAR	Unknown diseases	F	3.7	6th
BIHAR	Blood diseases	F	3.4	7th
BIHAR	Respiratory	F	3.3	8th
BIHAR	Digestive	F	3.0	9th
BIHAR	Cancer	F	2.3	10th
BIHAR	Endocrine	F	2.1	11th
BIHAR	Circulatory	M	31.2	1st
BIHAR	Infections	M	27.6	2nd
BIHAR	Nervous	M	7.3	3rd
BIHAR	Unknown diseases	M	6.3	4th
BIHAR	Others	M	5.3	5th
BIHAR	Respiratory	M	4.7	6th
BIHAR	Endocrine	M	4.6	7th
BIHAR	Digestive	M	4.4	8th
BIHAR	External Causes	M	4.0	9th
BIHAR	Blood diseases	M	2.5	10th
BIHAR	Cancer	M	2.1	11th
BIHAR	Circulatory	T	29.7	1st
BIHAR	Infections	T	26.7	2nd
BIHAR	Others	T	9.5	3rd
BIHAR	Nervous	T	8.0	4th
BIHAR	Unknown diseases	T	5.1	5th
BIHAR	External Causes	T	4.5	6th
BIHAR	Respiratory	T	4.1	7th
BIHAR	Digestive	T	3.7	8th
BIHAR	Endocrine	T	3.5	9th
BIHAR	Blood diseases	T	2.9	10th
BIHAR	Cancer	T	2.2	11th
CHANDIGARH	Others	F	21.0	1st
CHANDIGARH	Infections	F	18.8	2nd
CHANDIGARH	Respiratory	F	9.8	3rd
CHANDIGARH	Cancer	F	8.6	4th
CHANDIGARH	Endocrine	F	8.1	5th
CHANDIGARH	Circulatory	F	7.9	6th
CHANDIGARH	Nervous	F	6.6	7th
CHANDIGARH	Blood diseases	F	5.8	8th
CHANDIGARH	Digestive	F	5.1	9th
CHANDIGARH	External Causes	F	4.4	10th
CHANDIGARH	Unknown diseases	F	4.0	11th
CHANDIGARH	Respiratory	M	17.3	1st
CHANDIGARH	Infections	M	15.1	2nd
CHANDIGARH	Circulatory	M	12.8	3rd
CHANDIGARH	Others	M	11.9	4th
CHANDIGARH	Cancer	M	8.6	5th
CHANDIGARH	Unknown diseases	M	8.1	6th
CHANDIGARH	External Causes	M	7.8	7th
CHANDIGARH	Nervous	M	6.6	8th
CHANDIGARH	Endocrine	M	5.3	9th
CHANDIGARH	Blood diseases	M	3.7	10th
CHANDIGARH	Digestive	M	2.8	11th
CHANDIGARH	Infections	T	16.8	1st
CHANDIGARH	Others	T	16.0	2nd
CHANDIGARH	Respiratory	T	13.9	3rd
CHANDIGARH	Circulatory	T	10.6	4th
CHANDIGARH	Cancer	T	8.6	5th
CHANDIGARH	Endocrine	T	6.6	6th
CHANDIGARH	Nervous	T	6.6	7th
CHANDIGARH	Unknown diseases	T	6.2	8th
CHANDIGARH	External Causes	T	6.2	9th
CHANDIGARH	Blood diseases	T	4.6	10th
CHANDIGARH	Digestive	T	3.8	11th
CHHATISGARH	Circulatory	F	50.0	1st
CHHATISGARH	Respiratory	F	13.4	2nd
CHHATISGARH	Infections	F	11.4	3rd
CHHATISGARH	Unknown diseases	F	8.2	4th
CHHATISGARH	External Causes	F	5.2	5th
CHHATISGARH	Others	F	4.5	6th
CHHATISGARH	Blood diseases	F	3.8	7th
CHHATISGARH	Endocrine	F	1.8	8th
CHHATISGARH	Digestive	F	0.7	9th
CHHATISGARH	Nervous	F	0.5	10th
CHHATISGARH	Cancer	F	0.3	11th
CHHATISGARH	Circulatory	M	51.2	1st
CHHATISGARH	Respiratory	M	12.4	2nd
CHHATISGARH	Infections	M	12.0	3rd
CHHATISGARH	Unknown diseases	M	9.6	4th
CHHATISGARH	External Causes	M	4.8	5th
CHHATISGARH	Others	M	4.1	6th
CHHATISGARH	Blood diseases	M	2.3	7th
CHHATISGARH	Endocrine	M	2.0	8th
CHHATISGARH	Digestive	M	0.7	9th
CHHATISGARH	Nervous	M	0.6	10th
CHHATISGARH	Cancer	M	0.3	11th
CHHATISGARH	Circulatory	T	50.7	1st
CHHATISGARH	Respiratory	T	12.8	2nd
CHHATISGARH	Infections	T	11.8	3rd
CHHATISGARH	Unknown diseases	T	9.0	4th
CHHATISGARH	External Causes	T	5.0	5th
CHHATISGARH	Others	T	4.2	6th
CHHATISGARH	Blood diseases	T	2.9	7th
CHHATISGARH	Endocrine	T	1.9	8th
CHHATISGARH	Digestive	T	0.7	9th
CHHATISGARH	Nervous	T	0.5	10th
CHHATISGARH	Cancer	T	0.3	11th
D & N HAVELI	Unknown diseases	F	55.0	1st
D & N HAVELI	Circulatory	F	42.0	2nd
D & N HAVELI	Respiratory	F	1.9	3rd
D & N HAVELI	External Causes	F	0.8	4th
D & N HAVELI	Others	F	0.3	5th
D & N HAVELI	Infections	F	0.0	6th
D & N HAVELI	Cancer	F	0.0	7th
D & N HAVELI	Blood diseases	F	0.0	8th
D & N HAVELI	Endocrine	F	0.0	9th
D & N HAVELI	Nervous	F	0.0	10th
D & N HAVELI	Digestive	F	0	11th
D & N HAVELI	Circulatory	M	48.8	1st
D & N HAVELI	Unknown diseases	M	48.3	2nd
D & N HAVELI	Respiratory	M	1.1	3rd
D & N HAVELI	External Causes	M	1.1	4th
D & N HAVELI	Others	M	0.7	5th
D & N HAVELI	Infections	M	0.0	6th
D & N HAVELI	Cancer	M	0.0	7th
D & N HAVELI	Blood diseases	M	0.0	8th
D & N HAVELI	Endocrine	M	0.0	9th
D & N HAVELI	Nervous	M	0.0	10th
D & N HAVELI	Digestive	M	0.0	11th
D & N HAVELI	Unknown diseases	T	51.0	1st
D & N HAVELI	Circulatory	T	46.1	2nd
D & N HAVELI	Respiratory	T	1.4	3rd
D & N HAVELI	External Causes	T	1.0	4th
D & N HAVELI	Others	T	0.5	5th
D & N HAVELI	Infections	T	0.0	6th
D & N HAVELI	Cancer	T	0.0	7th
D & N HAVELI	Blood diseases	T	0.0	8th
D & N HAVELI	Endocrine	T	0.0	9th
D & N HAVELI	Nervous	T	0.0	10th
D & N HAVELI	Digestive	T	0.0	11th
DAMAN & DIU	Circulatory	F	45.4	1st
DAMAN & DIU	Respiratory	F	34.0	2nd
DAMAN & DIU	Others	F	9.3	3rd
DAMAN & DIU	Infections	F	4.6	4th
DAMAN & DIU	Cancer	F	3.8	5th
DAMAN & DIU	Endocrine	F	1.3	6th
DAMAN & DIU	Blood diseases	F	0.8	7th
DAMAN & DIU	Digestive	F	0.8	8th
DAMAN & DIU	Nervous	F	0.0	9th
DAMAN & DIU	Unknown diseases	F	0.0	10th
DAMAN & DIU	External Causes	F	0.0	11th
DAMAN & DIU	Circulatory	M	52.6	1st
DAMAN & DIU	Respiratory	M	38.7	2nd
DAMAN & DIU	Digestive	M	3.7	3rd
DAMAN & DIU	Infections	M	3.0	4th
DAMAN & DIU	Endocrine	M	1.0	5th
DAMAN & DIU	Cancer	M	0.5	6th
DAMAN & DIU	Blood diseases	M	0.5	7th
DAMAN & DIU	Others	M	0.0	8th
DAMAN & DIU	Nervous	M	0.0	9th
DAMAN & DIU	Unknown diseases	M	0.0	10th
DAMAN & DIU	External Causes	M	0	11th
DAMAN & DIU	Circulatory	T	49.9	1st
DAMAN & DIU	Respiratory	T	37.0	2nd
DAMAN & DIU	Infections	T	3.6	3rd
DAMAN & DIU	Others	T	3.4	4th
DAMAN & DIU	Digestive	T	2.7	5th
DAMAN & DIU	Cancer	T	1.7	6th
DAMAN & DIU	Endocrine	T	1.1	7th
DAMAN & DIU	Blood diseases	T	0.6	8th
DAMAN & DIU	Nervous	T	0.0	9th
DAMAN & DIU	Unknown diseases	T	0.0	10th
DAMAN & DIU	External Causes	T	0.0	11th
DELHI	Unknown diseases	F	24.8	1st
DELHI	Infections	F	17.8	2nd
DELHI	Circulatory	F	14.9	3rd
DELHI	Others	F	12.0	4th
DELHI	Respiratory	F	7.5	5th
DELHI	Cancer	F	7.2	6th
DELHI	External Causes	F	5.0	7th
DELHI	Endocrine	F	4.1	8th
DELHI	Digestive	F	3.4	9th
DELHI	Nervous	F	2.1	10th
DELHI	Blood diseases	F	1.0	11th
DELHI	Unknown diseases	M	27.7	1st
DELHI	Infections	M	17.0	2nd
DELHI	Circulatory	M	15.5	3rd
DELHI	Others	M	10.3	4th
DELHI	Respiratory	M	7.3	5th
DELHI	Cancer	M	6.1	6th
DELHI	Digestive	M	5.1	7th
DELHI	External Causes	M	4.6	8th
DELHI	Endocrine	M	3.0	9th
DELHI	Nervous	M	2.2	10th
DELHI	Blood diseases	M	0.9	11th
DELHI	Unknown diseases	T	26.6	1st
DELHI	Infections	T	17.3	2nd
DELHI	Circulatory	T	15.3	3rd
DELHI	Others	T	11.1	4th
DELHI	Respiratory	T	7.4	5th
DELHI	Cancer	T	6.5	6th
DELHI	External Causes	T	4.7	7th
DELHI	Digestive	T	4.5	8th
DELHI	Endocrine	T	3.4	9th
DELHI	Nervous	T	2.2	10th
DELHI	Blood diseases	T	0.9	11th
EAST INDIA	Circulatory	F	24.3	1st
EAST INDIA	Others	F	20.6	2nd
EAST INDIA	Infections	F	15.7	3rd
EAST INDIA	External Causes	F	8.4	4th
EAST INDIA	Respiratory	F	6.9	5th
EAST INDIA	Unknown diseases	F	6.5	6th
EAST INDIA	Endocrine	F	4.5	7th
EAST INDIA	Digestive	F	4	8th
EAST INDIA	Nervous	F	3.2	9th
EAST INDIA	Blood diseases	F	3.1	10th
EAST INDIA	Cancer	F	2.7	11th
EAST INDIA	Circulatory	M	21.8	1st
EAST INDIA	Others	M	20.1	2nd
EAST INDIA	Infections	M	14.3	3rd
EAST INDIA	Respiratory	M	8.7	4th
EAST INDIA	Digestive	M	7.8	5th
EAST INDIA	External Causes	M	7.6	6th
EAST INDIA	Unknown diseases	M	7.2	7th
EAST INDIA	Endocrine	M	5	8th
EAST INDIA	Nervous	M	3.2	9th
EAST INDIA	Cancer	M	2.4	10th
EAST INDIA	Blood diseases	M	1.9	11th
EAST INDIA	Circulatory	T	22.8	1st
EAST INDIA	Others	T	20.3	2nd
EAST INDIA	Infections	T	14.8	3rd
EAST INDIA	Respiratory	T	8	4th
EAST INDIA	External Causes	T	7.9	5th
EAST INDIA	Unknown diseases	T	6.9	6th
EAST INDIA	Digestive	T	6.4	7th
EAST INDIA	Endocrine	T	4.8	8th
EAST INDIA	Nervous	T	3.2	9th
EAST INDIA	Cancer	T	2.5	10th
EAST INDIA	Blood diseases	T	2.3	11th
GOA	Circulatory	F	39.5	1st
GOA	Unknown diseases	F	15.4	2nd
GOA	Respiratory	F	11.5	3rd
GOA	Cancer	F	8.8	4th
GOA	Endocrine	F	6.8	5th
GOA	Others	F	5.7	6th
GOA	Infections	F	4.8	7th
GOA	External Causes	F	3.0	8th
GOA	Digestive	F	1.9	9th
GOA	Nervous	F	1.7	10th
GOA	Blood diseases	F	0.9	11th
GOA	Circulatory	M	30.8	1st
GOA	Unknown diseases	M	15.2	2nd
GOA	Digestive	M	11.9	3rd
GOA	Respiratory	M	9.7	4th
GOA	External Causes	M	7.6	5th
GOA	Cancer	M	6.7	6th
GOA	Infections	M	5.6	7th
GOA	Endocrine	M	5.6	8th
GOA	Others	M	4.6	9th
GOA	Nervous	M	1.8	10th
GOA	Blood diseases	M	0.6	11th
GOA	Circulatory	T	34.2	1st
GOA	Unknown diseases	T	15.3	2nd
GOA	Respiratory	T	10.4	3rd
GOA	Digestive	T	8.0	4th
GOA	Cancer	T	7.5	5th
GOA	Endocrine	T	6.1	6th
GOA	External Causes	T	5.8	7th
GOA	Infections	T	5.3	8th
GOA	Others	T	4.9	9th
GOA	Nervous	T	1.8	10th
GOA	Blood diseases	T	0.7	11th
HIMACHAL PRADESH	Circulatory	F	22.3	1st
HIMACHAL PRADESH	Respiratory	F	20.3	2nd
HIMACHAL PRADESH	Others	F	13.8	3rd
HIMACHAL PRADESH	Infections	F	10.9	4th
HIMACHAL PRADESH	Digestive	F	6.3	5th
HIMACHAL PRADESH	External Causes	F	6.3	6th
HIMACHAL PRADESH	Endocrine	F	5.6	7th
HIMACHAL PRADESH	Nervous	F	4.7	8th
HIMACHAL PRADESH	Unknown diseases	F	4.5	9th
HIMACHAL PRADESH	Cancer	F	3.8	10th
HIMACHAL PRADESH	Blood diseases	F	1.7	11th
HIMACHAL PRADESH	Circulatory	M	22.0	1st
HIMACHAL PRADESH	Respiratory	M	21.5	2nd
HIMACHAL PRADESH	Others	M	11.9	3rd
HIMACHAL PRADESH	Infections	M	11.0	4th
HIMACHAL PRADESH	Digestive	M	9.1	5th
HIMACHAL PRADESH	External Causes	M	6.1	6th
HIMACHAL PRADESH	Endocrine	M	4.8	7th
HIMACHAL PRADESH	Unknown diseases	M	4.7	8th
HIMACHAL PRADESH	Nervous	M	4.4	9th
HIMACHAL PRADESH	Cancer	M	3.5	10th
HIMACHAL PRADESH	Blood diseases	M	0.9	11th
HIMACHAL PRADESH	Circulatory	T	22.1	1st
HIMACHAL PRADESH	Respiratory	T	21.1	2nd
HIMACHAL PRADESH	Others	T	12.7	3rd
HIMACHAL PRADESH	Infections	T	11.0	4th
HIMACHAL PRADESH	Digestive	T	8.0	5th
HIMACHAL PRADESH	External Causes	T	6.2	6th
HIMACHAL PRADESH	Endocrine	T	5.1	7th
HIMACHAL PRADESH	Unknown diseases	T	4.6	8th
HIMACHAL PRADESH	Nervous	T	4.5	9th
HIMACHAL PRADESH	Cancer	T	3.6	10th
HIMACHAL PRADESH	Blood diseases	T	1.2	11th
INDIA	Circulatory	F	29.8	1st
INDIA	Others	F	14.1	2nd
INDIA	Unknown diseases	F	13.3	3rd
INDIA	Infections	F	12.1	4th
INDIA	Respiratory	F	7.8	5th
INDIA	External Causes	F	6.5	6th
INDIA	Cancer	F	5.7	7th
INDIA	Endocrine	F	4.0	8th
INDIA	Digestive	F	2.7	9th
INDIA	Nervous	F	2.2	10th
INDIA	Blood diseases	F	1.8	11th
INDIA	Circulatory	M	28.5	1st
INDIA	Unknown diseases	M	13.3	2nd
INDIA	Infections	M	12.1	3rd
INDIA	Others	M	12.1	4th
INDIA	Respiratory	M	8.6	5th
INDIA	External Causes	M	8.1	6th
INDIA	Digestive	M	5.8	7th
INDIA	Cancer	M	4.7	8th
INDIA	Endocrine	M	3.6	9th
INDIA	Nervous	M	2.0	10th
INDIA	Blood diseases	M	1.1	11th
INDIA	Circulatory	T	29.0	1st
INDIA	Unknown diseases	T	13.3	2nd
INDIA	Others	T	13.1	3rd
INDIA	Infections	T	12.1	4th
INDIA	Respiratory	T	8.3	5th
INDIA	External Causes	T	7.5	6th
INDIA	Cancer	T	5.1	7th
INDIA	Digestive	T	4.6	8th
INDIA	Endocrine	T	3.7	9th
INDIA	Nervous	T	2.1	10th
INDIA	Blood diseases	T	1.4	11th
JHARKHAND	Circulatory	F	33.2	1st
JHARKHAND	Infections	F	20.7	2nd
JHARKHAND	Blood diseases	F	14.1	3rd
JHARKHAND	Respiratory	F	8.2	4th
JHARKHAND	Nervous	F	5.4	5th
JHARKHAND	Unknown diseases	F	4.9	6th
JHARKHAND	External Causes	F	4.9	7th
JHARKHAND	Others	F	3.8	8th
JHARKHAND	Digestive	F	3.8	9th
JHARKHAND	Cancer	F	1.1	10th
JHARKHAND	Endocrine	F	0.0	11th
JHARKHAND	Circulatory	M	47.8	1st
JHARKHAND	Infections	M	19.0	2nd
JHARKHAND	Blood diseases	M	9.1	3rd
JHARKHAND	Unknown diseases	M	6.2	4th
JHARKHAND	Respiratory	M	5.8	5th
JHARKHAND	Digestive	M	4.4	6th
JHARKHAND	External Causes	M	3.6	7th
JHARKHAND	Others	M	1.5	8th
JHARKHAND	Nervous	M	1.5	9th
JHARKHAND	Cancer	M	1.1	10th
JHARKHAND	Endocrine	M	0.0	11th
JHARKHAND	Circulatory	T	41.9	1st
JHARKHAND	Infections	T	19.7	2nd
JHARKHAND	Blood diseases	T	11.1	3rd
JHARKHAND	Respiratory	T	6.8	4th
JHARKHAND	Unknown diseases	T	5.7	5th
JHARKHAND	Digestive	T	4.1	6th
JHARKHAND	External Causes	T	4.1	7th
JHARKHAND	Nervous	T	3.1	8th
JHARKHAND	Others	T	2.4	9th
JHARKHAND	Cancer	T	1.1	10th
JHARKHAND	Endocrine	T	0.0	11th
KARNATAKA	Circulatory	F	28.6	1st
KARNATAKA	Others	F	17.9	2nd
KARNATAKA	External Causes	F	11.0	3rd
KARNATAKA	Infections	F	9.5	4th
KARNATAKA	Respiratory	F	8.0	5th
KARNATAKA	Cancer	F	7.7	6th
KARNATAKA	Endocrine	F	6.6	7th
KARNATAKA	Digestive	F	3.3	8th
KARNATAKA	Nervous	F	2.8	9th
KARNATAKA	Blood diseases	F	2.3	10th
KARNATAKA	Unknown diseases	F	2.0	11th
KARNATAKA	Circulatory	M	28.9	1st
KARNATAKA	Others	M	14.9	2nd
KARNATAKA	External Causes	M	11.7	3rd
KARNATAKA	Infections	M	10.4	4th
KARNATAKA	Respiratory	M	8.9	5th
KARNATAKA	Digestive	M	8.5	6th
KARNATAKA	Cancer	M	6.1	7th
KARNATAKA	Endocrine	M	5.0	8th
KARNATAKA	Nervous	M	2.6	9th
KARNATAKA	Unknown diseases	M	1.5	10th
KARNATAKA	Blood diseases	M	1.3	11th
KARNATAKA	Circulatory	T	28.8	1st
KARNATAKA	Others	T	16.0	2nd
KARNATAKA	External Causes	T	11.5	3rd
KARNATAKA	Infections	T	10.1	4th
KARNATAKA	Respiratory	T	8.6	5th
KARNATAKA	Cancer	T	6.7	6th
KARNATAKA	Digestive	T	6.6	7th
KARNATAKA	Endocrine	T	5.6	8th
KARNATAKA	Nervous	T	2.7	9th
KARNATAKA	Blood diseases	T	1.7	10th
KARNATAKA	Unknown diseases	T	1.7	11th
KERALA	Circulatory	F	32.8	1st
KERALA	Cancer	F	15.9	2nd
KERALA	Endocrine	F	12.6	3rd
KERALA	Others	F	12.6	4th
KERALA	Respiratory	F	8.6	5th
KERALA	Infections	F	5.1	6th
KERALA	Digestive	F	4.5	7th
KERALA	External Causes	F	3.7	8th
KERALA	Nervous	F	2.0	9th
KERALA	Blood diseases	F	1.2	10th
KERALA	Unknown diseases	F	1.0	11th
KERALA	Circulatory	M	28.0	1st
KERALA	Cancer	M	14.8	2nd
KERALA	Respiratory	M	11.5	3rd
KERALA	Digestive	M	10.3	4th
KERALA	Endocrine	M	9.9	5th
KERALA	Others	M	9.6	6th
KERALA	Infections	M	6.4	7th
KERALA	External Causes	M	5.8	8th
KERALA	Nervous	M	1.8	9th
KERALA	Unknown diseases	M	1.1	10th
KERALA	Blood diseases	M	0.6	11th
KERALA	Circulatory	T	29.8	1st
KERALA	Cancer	T	15.2	2nd
KERALA	Endocrine	T	10.9	3rd
KERALA	Others	T	10.8	4th
KERALA	Respiratory	T	10.4	5th
KERALA	Digestive	T	8.1	6th
KERALA	Infections	T	5.9	7th
KERALA	External Causes	T	5.0	8th
KERALA	Nervous	T	1.9	9th
KERALA	Unknown diseases	T	1.0	10th
KERALA	Blood diseases	T	0.8	11th
LAKSHADWEEP	Circulatory	F	38.7	1st
LAKSHADWEEP	Unknown diseases	F	21.0	2nd
LAKSHADWEEP	Cancer	F	10.5	3rd
LAKSHADWEEP	Endocrine	F	8.3	4th
LAKSHADWEEP	Others	F	6.8	5th
LAKSHADWEEP	Blood diseases	F	5.5	6th
LAKSHADWEEP	Respiratory	F	3.9	7th
LAKSHADWEEP	Infections	F	2.8	8th
LAKSHADWEEP	Nervous	F	1.7	9th
LAKSHADWEEP	Digestive	F	1.1	10th
LAKSHADWEEP	External Causes	F	0.0	11th
LAKSHADWEEP	Circulatory	M	56.4	1st
LAKSHADWEEP	Unknown diseases	M	14.5	2nd
LAKSHADWEEP	Respiratory	M	7.9	3rd
LAKSHADWEEP	Others	M	4.8	4th
LAKSHADWEEP	Cancer	M	4.2	5th
LAKSHADWEEP	Endocrine	M	4.2	6th
LAKSHADWEEP	Blood diseases	M	3.6	7th
LAKSHADWEEP	Infections	M	1.8	8th
LAKSHADWEEP	Digestive	M	1.2	9th
LAKSHADWEEP	Nervous	M	0.6	10th
LAKSHADWEEP	External Causes	M	0.6	11th
LAKSHADWEEP	Circulatory	T	47.1	1st
LAKSHADWEEP	Unknown diseases	T	17.9	2nd
LAKSHADWEEP	Cancer	T	7.5	3rd
LAKSHADWEEP	Endocrine	T	6.4	4th
LAKSHADWEEP	Others	T	5.8	5th
LAKSHADWEEP	Respiratory	T	5.8	6th
